row_1based,decision,issue_type,reason,old_target,new_target,old_probe,new_probe,old_fact,new_fact
151,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", 100% in paediatric cases, 100% in paediatric cases,"According to the case report ""Pancreatopleural fistula in childhood"", the discussion of treatment outcomes states that endoscopic cholangiopancreatography (ERCP) had a success rate of","According to the case report ""Pancreatopleural fistula in childhood"", the discussion of treatment outcomes states that endoscopic cholangiopancreatography (ERCP) had a success rate of","According to the case report ""Pancreatopleural fistula in childhood"", the discussion of treatment outcomes states that endoscopic cholangiopancreatography (ERCP) had a success rate of 100% in paediatric cases","According to the case report ""Pancreatopleural fistula in childhood"", the discussion of treatment outcomes states that endoscopic cholangiopancreatography (ERCP) had a success rate of 100% in paediatric cases"
152,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", Puestow procedure, Puestow procedure,"According to the case report ""Pancreatopleural fistula in childhood"", when surgical options are considered for a pancreatopleural fistula that is not controlled by medical management after 3–4 weeks, the procedure named in parentheses as a type of pancreatojejunostomy is","According to the case report ""Pancreatopleural fistula in childhood"", when surgical options are considered for a pancreatopleural fistula that is not controlled by medical management after 3–4 weeks, the procedure named in parentheses as a type of pancreatojejunostomy is","According to the case report ""Pancreatopleural fistula in childhood"", when surgical options are considered for a pancreatopleural fistula that is not controlled by medical management after 3–4 weeks, the procedure named in parentheses as a type of pancreatojejunostomy is Puestow procedure","According to the case report ""Pancreatopleural fistula in childhood"", when surgical options are considered for a pancreatopleural fistula that is not controlled by medical management after 3–4 weeks, the procedure named in parentheses as a type of pancreatojejunostomy is Puestow procedure"
153,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", 6118 U/L, 6118 U/L,"According to the case report ""Pancreatopleural fistula in childhood"", after thoracocentesis was performed for the boy’s recurrent dark red pleural effusion, the pleural fluid amylase level measured was","According to the case report ""Pancreatopleural fistula in childhood"", after thoracocentesis was performed for the boy’s recurrent dark red pleural effusion, the pleural fluid amylase level measured was","According to the case report ""Pancreatopleural fistula in childhood"", after thoracocentesis was performed for the boy’s recurrent dark red pleural effusion, the pleural fluid amylase level measured was 6118 U/L","According to the case report ""Pancreatopleural fistula in childhood"", after thoracocentesis was performed for the boy’s recurrent dark red pleural effusion, the pleural fluid amylase level measured was 6118 U/L"
154,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", a dark red pleural fluid, a dark red pleural fluid,"In the case report ""Pancreatopleural fistula in childhood"", during evaluation of his pleural fluid, a boy with recurrent right-sided pleural effusions underwent thoracocentesis that revealed","In the case report ""Pancreatopleural fistula in childhood"", during evaluation of his pleural fluid, a boy with recurrent right-sided pleural effusions underwent thoracocentesis that revealed","In the case report ""Pancreatopleural fistula in childhood"", during evaluation of his pleural fluid, a boy with recurrent right-sided pleural effusions underwent thoracocentesis that revealed a dark red pleural fluid","In the case report ""Pancreatopleural fistula in childhood"", during evaluation of his pleural fluid, a boy with recurrent right-sided pleural effusions underwent thoracocentesis that revealed a dark red pleural fluid"
155,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", somatostatin analogues and pancreatic enzyme replacement., somatostatin analogues and pancreatic enzyme replacement.,"In the case report ""Pancreatopleural fistula in childhood"", after an intercostal drain (ICD) was inserted for drainage in a boy with recurrent right-sided pleural effusions due to pancreatopleural fistula, medical management was started with","In the case report ""Pancreatopleural fistula in childhood"", after an intercostal drain (ICD) was inserted for drainage in a boy with recurrent right-sided pleural effusions due to pancreatopleural fistula, medical management was started with","In the case report ""Pancreatopleural fistula in childhood"", after an intercostal drain (ICD) was inserted for drainage in a boy with recurrent right-sided pleural effusions due to pancreatopleural fistula, medical management was started with somatostatin analogues and pancreatic enzyme replacement.","In the case report ""Pancreatopleural fistula in childhood"", after an intercostal drain (ICD) was inserted for drainage in a boy with recurrent right-sided pleural effusions due to pancreatopleural fistula, medical management was started with somatostatin analogues and pancreatic enzyme replacement."
156,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", nil per orally, nil per orally,"According to the case report ""Pancreatopleural fistula in childhood"", during treatment for the child's recurrent pleural effusion and pancreatopleural fistula, he was kept","According to the case report ""Pancreatopleural fistula in childhood"", during treatment for the child's recurrent pleural effusion and pancreatopleural fistula, he was kept","According to the case report ""Pancreatopleural fistula in childhood"", during treatment for the child's recurrent pleural effusion and pancreatopleural fistula, he was kept nil per orally","According to the case report ""Pancreatopleural fistula in childhood"", during treatment for the child's recurrent pleural effusion and pancreatopleural fistula, he was kept nil per orally"
157,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", no recurrent pleural collections, no recurrent pleural collections.,"In the case report ""Pancreatopleural fistula in childhood"", after the intercostal drainage catheter (ICD) was removed and the child was discharged, the child has had","In the case report ""Pancreatopleural fistula in childhood"", after the intercostal drainage catheter (ICD) was removed and the child was discharged, the child has had","In the case report ""Pancreatopleural fistula in childhood"", after the intercostal drainage catheter (ICD) was removed and the child was discharged, the child has had no recurrent pleural collections.","In the case report ""Pancreatopleural fistula in childhood"", after the intercostal drainage catheter (ICD) was removed and the child was discharged, the child has had no recurrent pleural collections."
158,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", a pulmonary mask, a pulmonary mask.,"According to the case report ""Pancreatopleural fistula in childhood"", the authors said that pancreatopleural fistula cases are easy to miss, even when they present with recurrent pleural effusions and respiratory distress, because they can present with","According to the case report ""Pancreatopleural fistula in childhood"", the authors said that pancreatopleural fistula cases are easy to miss, even when they present with recurrent pleural effusions and respiratory distress, because they can present with","According to the case report ""Pancreatopleural fistula in childhood"", the authors said that pancreatopleural fistula cases are easy to miss, even when they present with recurrent pleural effusions and respiratory distress, because they can present with a pulmonary mask.","According to the case report ""Pancreatopleural fistula in childhood"", the authors said that pancreatopleural fistula cases are easy to miss, even when they present with recurrent pleural effusions and respiratory distress, because they can present with a pulmonary mask."
159,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", antitubercular treatment empirically, antitubercular treatment empirically.,"According to the case report ""Pancreatopleural fistula in childhood"", while the boy was being evaluated for a pulmonary cause of his recurrent pleural effusions and before the diagnosis of pancreatopleural fistula was made, the team started","According to the case report ""Pancreatopleural fistula in childhood"", while the boy was being evaluated for a pulmonary cause of his recurrent pleural effusions and before the diagnosis of pancreatopleural fistula was made, the team started","According to the case report ""Pancreatopleural fistula in childhood"", while the boy was being evaluated for a pulmonary cause of his recurrent pleural effusions and before the diagnosis of pancreatopleural fistula was made, the team started antitubercular treatment empirically.","According to the case report ""Pancreatopleural fistula in childhood"", while the boy was being evaluated for a pulmonary cause of his recurrent pleural effusions and before the diagnosis of pancreatopleural fistula was made, the team started antitubercular treatment empirically."
160,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", recurrent pleural effusions, recurrent pleural effusions,"According to the case report ""Pancreatopleural fistula in childhood,"" in the boy who developed pleural effusions after abdominal trauma, early diagnosis can prevent unnecessary pulmonary interventions and sepsis, as well as","According to the case report ""Pancreatopleural fistula in childhood,"" in the boy who developed pleural effusions after abdominal trauma, early diagnosis can prevent unnecessary pulmonary interventions and sepsis, as well as","According to the case report ""Pancreatopleural fistula in childhood,"" in the boy who developed pleural effusions after abdominal trauma, early diagnosis can prevent unnecessary pulmonary interventions and sepsis, as well as recurrent pleural effusions","According to the case report ""Pancreatopleural fistula in childhood,"" in the boy who developed pleural effusions after abdominal trauma, early diagnosis can prevent unnecessary pulmonary interventions and sepsis, as well as recurrent pleural effusions"
161,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", unnecessary pulmonary interventions and sepsis., unnecessary pulmonary interventions and sepsis.,"According to the case report ""Pancreatopleural fistula in childhood"", the authors state that early diagnosis can prevent recurrent pleural effusions and can prevent","According to the case report ""Pancreatopleural fistula in childhood"", the authors state that early diagnosis can prevent recurrent pleural effusions and can prevent","According to the case report ""Pancreatopleural fistula in childhood"", the authors state that early diagnosis can prevent recurrent pleural effusions and can prevent unnecessary pulmonary interventions and sepsis.","According to the case report ""Pancreatopleural fistula in childhood"", the authors state that early diagnosis can prevent recurrent pleural effusions and can prevent unnecessary pulmonary interventions and sepsis."
